Node,mean,stdev
829,8.221,0.336
830,8.221,0.336
831,8.221,0.336
832,8.222,0.336
833,8.222,0.336
834,8.223,0.336
835,8.223,0.335
836,8.223,0.336
837,8.224,0.335
838,8.224,0.335
839,8.225,0.336
840,8.225,0.336
841,8.227,0.336
842,8.227,0.336
843,8.227,0.336
844,8.228,0.337
845,8.228,0.337
846,8.228,0.336
847,8.228,0.336
848,8.229,0.336
849,8.229,0.336
850,8.229,0.336
851,8.230,0.336
852,8.230,0.336
853,8.230,0.336
854,8.230,0.336
855,8.229,0.337
856,8.228,0.337
857,8.228,0.338
858,8.228,0.338
859,8.228,0.338
860,8.228,0.338
861,8.229,0.339
862,8.229,0.339
863,8.230,0.339
864,8.229,0.339
865,8.229,0.339
866,8.229,0.339
867,8.229,0.339
868,8.229,0.339
869,8.229,0.339
870,8.229,0.340
871,8.229,0.340
872,8.229,0.339
873,8.229,0.339
874,8.229,0.339
875,8.229,0.339
876,8.229,0.339
877,8.229,0.339
878,8.229,0.339
879,8.229,0.339
880,8.230,0.340
881,8.230,0.339
882,8.229,0.339
883,8.230,0.339
884,8.229,0.339
885,8.229,0.340
886,8.229,0.340
887,8.229,0.340
888,8.230,0.340
889,8.230,0.340
890,8.230,0.341
891,8.230,0.340
892,8.230,0.340
893,8.229,0.341
894,8.229,0.341
895,8.229,0.342
896,8.229,0.342
897,8.229,0.342
898,8.230,0.342
899,8.229,0.342
900,8.229,0.343
901,8.229,0.343
902,8.230,0.343
903,8.230,0.344
904,8.231,0.344
905,8.231,0.344
906,8.231,0.344
907,8.232,0.345
908,8.232,0.345
909,8.232,0.345
910,8.233,0.346
911,8.233,0.346
912,8.234,0.346
913,8.234,0.346
914,8.235,0.346
915,8.235,0.346
916,8.235,0.346
917,8.236,0.346
918,8.237,0.346
919,8.237,0.346
920,8.237,0.346
921,8.236,0.346
922,8.236,0.346
923,8.236,0.346
924,8.237,0.346
925,8.236,0.346
926,8.236,0.346
927,8.237,0.346
